Brand Name,Smartphone Name,Color,RAM,Storage/ROM,Primary Camera,Secondary Camera,Display Size,Display Resolution,Processor,Processor-Core,Battery Capacity,Price,Product Url
POCO ,"POCO C3 (Arctic Blue, 64 GB)  (4 GB RAM)",Arctic Blue,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,Mediatek Helio G35,Octa Core,5000 mAh Li-ion Polymer Battery,"Rs. 8,999",https://www.flipkart.com/poco-c3-arctic-blue-64-gb/p/itm7f632fdb49b3b?pid=MOBFVQJ5NV9ZSYEF&lid=LSTMOBFVQJ5NV9ZSYEFCPQTX8&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=76ed8200-3bf0-4f04-9d3e-71f8d7c0a7a3.MOBFVQJ5NV9ZSYEF.SEARCH&ppt=hp&ppn=homepage&ssid=dvoggrxww00000001632637777646&qH=d2d7ba3c0ae30d4a
realme ,"realme C20 (Cool Blue, 32 GB)  (2 GB RAM)",Cool Blue,MediaTek Helio G35,Android 10,2 GB,Dedicated Slot,"Handset, Adapter (5V/2A), USB Cable, SIM Card Tool, Quick Guide, Important Info booklet with Warranty Card",RMX3063 / RMX3061,1600 x 720 Pixels,HD+,5000 mAh Li-ion Polymer Battery,"Rs. 7,499",https://www.flipkart.com/realme-c20-cool-blue-32-gb/p/itmea1903897436b?pid=MOBGF4894MEWZJGV&lid=LSTMOBGF4894MEWZJGVW425N5&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=76ed8200-3bf0-4f04-9d3e-71f8d7c0a7a3.MOBGF4894MEWZJGV.SEARCH&ppt=hp&ppn=homepage&ssid=dvoggrxww00000001632637777646&qH=d2d7ba3c0ae30d4a
realme ,"realme C20 (Cool Grey, 32 GB)  (2 GB RAM)",Cool Grey,MediaTek Helio G35,Android 10,2 GB,Dedicated Slot,"Handset, Adapter (5V/2A), USB Cable, SIM Card Tool, Quick Guide, Important Info booklet with Warranty Card",RMX3063 / RMX3061,1600 x 720 Pixels,HD+,5000 mAh Li-ion Polymer Battery,"Rs. 7,499",https://www.flipkart.com/realme-c20-cool-grey-32-gb/p/itmea1903897436b?pid=MOBGF489SQZCFHYA&lid=LSTMOBGF489SQZCFHYAGB7SDS&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=76ed8200-3bf0-4f04-9d3e-71f8d7c0a7a3.MOBGF489SQZCFHYA.SEARCH&ppt=hp&ppn=homepage&ssid=dvoggrxww00000001632637777646&qH=d2d7ba3c0ae30d4a
REDMI ,"REDMI 9i (Nature Green, 64 GB)  (4 GB RAM)",Nature Green,4 GB,64 GB,13MP Rear Camera,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,MediaTek Helio G25,Octa Core,5000 mAh Li-ion Polymer Battery,"Rs. 8,799",https://www.flipkart.com/redmi-9i-nature-green-64-gb/p/itm2e2fcd7b3eb7b?pid=MOBFV8RYNA4FVEH7&lid=LSTMOBFV8RYNA4FVEH7GEI6Y9&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=SEARCH&iid=76ed8200-3bf0-4f04-9d3e-71f8d7c0a7a3.MOBFV8RYNA4FVEH7.SEARCH&ppt=hp&ppn=homepage&ssid=dvoggrxww00000001632637777646&qH=d2d7ba3c0ae30d4a
POCO ,"POCO C3 (Arctic Blue, 32 GB)  (3 GB RAM)",Arctic Blue,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,Mediatek Helio G35,Octa Core,5000 mAh Li-ion Polymer Battery,"Rs. 7,999",https://www.flipkart.com/poco-c3-arctic-blue-32-gb/p/itm815e140cbd2a0?pid=MOBFVQJ5PMVMSJHT&lid=LSTMOBFVQJ5PMVMSJHTDVJHQ6&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=76ed8200-3bf0-4f04-9d3e-71f8d7c0a7a3.MOBFVQJ5PMVMSJHT.SEARCH&ppt=hp&ppn=homepage&ssid=dvoggrxww00000001632637777646&qH=d2d7ba3c0ae30d4a
realme ,"realme C11 2021 (Cool Grey, 32 GB)  (2 GB RAM)",Cool Grey,2 GB,32 GB,8MP Rear Camera,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Octa-core,Octa Core,5000 mAh Li-ion Polymer Battery,"Rs. 7,299",https://www.flipkart.com/realme-c11-2021-cool-grey-32-gb/p/itmbd856acb97c38?pid=MOBG4BEGX8QYNKGZ&lid=LSTMOBG4BEGX8QYNKGZMUPPAI&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=SEARCH&iid=76ed8200-3bf0-4f04-9d3e-71f8d7c0a7a3.MOBG4BEGX8QYNKGZ.SEARCH&ppt=hp&ppn=homepage&ssid=dvoggrxww00000001632637777646&qH=d2d7ba3c0ae30d4a
realme ,"realme C11 2021 (Cool Blue, 32 GB)  (2 GB RAM)",Cool Blue,2 GB,32 GB,8MP Rear Camera,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Octa-core,Octa Core,5000 mAh Li-ion Polymer Battery,"Rs. 7,299",https://www.flipkart.com/realme-c11-2021-cool-blue-32-gb/p/itmbd856acb97c38?pid=MOBG4BEG3HG78BDG&lid=LSTMOBG4BEG3HG78BDGLL8WZW&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=SEARCH&iid=76ed8200-3bf0-4f04-9d3e-71f8d7c0a7a3.MOBG4BEG3HG78BDG.SEARCH&ppt=hp&ppn=homepage&ssid=dvoggrxww00000001632637777646&qH=d2d7ba3c0ae30d4a
realme ,"realme C21Y (Cross Black, 64 GB)  (4 GB RAM)",Cross Black,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Unisoc T610,Octa Core,5000 mAh Li-ion Polymer Battery,"Rs. 9,999",https://www.flipkart.com/realme-c21y-cross-black-64-gb/p/itm2a2e4f7554a21?pid=MOBG5ZGKQVSRBYGJ&lid=LSTMOBG5ZGKQVSRBYGJZFAT5X&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=SEARCH&iid=76ed8200-3bf0-4f04-9d3e-71f8d7c0a7a3.MOBG5ZGKQVSRBYGJ.SEARCH&ppt=hp&ppn=homepage&ssid=dvoggrxww00000001632637777646&qH=d2d7ba3c0ae30d4a
realme ,"realme C21Y (Cross Blue, 64 GB)  (4 GB RAM)",Cross Blue,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Unisoc T610,Octa Core,5000 mAh Li-ion Polymer Battery,"Rs. 9,999",https://www.flipkart.com/realme-c21y-cross-blue-64-gb/p/itm2a2e4f7554a21?pid=MOBG5ZGKRUBBZFBR&lid=LSTMOBG5ZGKRUBBZFBRKJD4XR&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=SEARCH&iid=76ed8200-3bf0-4f04-9d3e-71f8d7c0a7a3.MOBG5ZGKRUBBZFBR.SEARCH&ppt=hp&ppn=homepage&ssid=dvoggrxww00000001632637777646&qH=d2d7ba3c0ae30d4a
POCO ,"POCO M3 (Cool Blue, 64 GB)  (4 GB RAM)",Cool Blue,4 GB,64 GB,48MP + 2MP + 2MP,8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080 Pixels,Qualcomm Snapdragon 662,Octa Core,5000 mAh Li-ion Polymer Battery,"Rs. 10,999",https://www.flipkart.com/poco-m3-cool-blue-64-gb/p/itm3bcdc32409005?pid=MOBG4CGF7NWAEVRK&lid=LSTMOBG4CGF7NWAEVRKSCTC2I&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=76ed8200-3bf0-4f04-9d3e-71f8d7c0a7a3.MOBG4CGF7NWAEVRK.SEARCH&ppt=hp&ppn=homepage&ssid=dvoggrxww00000001632637777646&qH=d2d7ba3c0ae30d4a
